Emotion,Sentence,Sentence_cleaned
Other,"lúc sinh ra rồi , con gái không nói , là con trai thì ổng sẽ phải ước mình chưa đẻ ra nó , có thêm đứa tranh vợ với mình mà 😂😂",lúc sinh ra rồi con gái không nói là con trai thì ổng sẽ phải ước mình chưa đẻ ra nó có thêm đứa tranh vợ với mình mà 😂😂
Enjoyment,cưng xĩu 😊😊,cưng xĩu 😊😊
Surprise,người ngoài hành tinh nói tiếng anh ????? nà ní ?????,người ngoài hành tinh nói tiếng anh nà ní
Enjoyment,"nghĩ đến cảnh mặc áo là cảm thấy mất cả tuổi thanh xuân , chưa kể là lúc ngứa thì gãi kiểu gì 😂😂",nghĩ đến cảnh mặc áo là cảm thấy mất cả tuổi thanh xuân chưa kể là lúc ngứa thì gãi kiểu gì 😂😂
Sadness,cứ thấy nó là ăn không còn xác thì lấy gì chúng kịp phá . nhìn thèm ứ chịu được 😔😔😔,cứ thấy nó là ăn không còn xác thì lấy gì chúng kịp phá nhìn thèm ứ chịu được 😔
Enjoyment,xem video chị này công nhận hay và ý nghĩa thật . giờ lên xem vid mới biết về tuổi thơ chị này cơ cực thật đấy,xem video chị này công nhận hay và ý nghĩa thật giờ lên xem vid mới bt về tuổi thơ chị này cơ cực thật đấy
Enjoyment,nó giống tao ghê . gặp tao tao cũng chọn mày,nó giống tao ghê gặp tao tao cũng chọn mày
Enjoyment,hiện tại cảm thấy hạnh phúc khi môi trường làm việc toàn người lầy ....,hiện tại cảm thấy hạnh phúc khi môi trường làm việc toàn người lầy
Enjoyment,đúng là mỹ nhanh gọn dứt khoát,đúng là mỹ nhanh gọn dứt khoát
Enjoyment,khúc cuối cười lộn ruột,khúc cuối cười lộn ruột
Enjoyment,mặt con mèo giải trí dữ 😬,mặt con mèo giải trí dữ 😬
Disgust,tại con này xấu quá không nhận diện được khuôn mặt,tại con này xấu quá không nhận diện được khuôn mặt
Disgust,"đã ra tù nhưng chắc nhớ tù quá , muốn quay lại trại nên mặc quả đồ này :vậy",đã ra tù nhưng chắc nhớ tù quá muốn quay lại trại nên mặc quả đồ này vậy
Enjoyment,anh có tin em giận lại anh không ?,anh có tin em giận lại anh không
Disgust,ác đến vậy là cùng,ác đến vậy là cùng
Sadness,khi cô đơn lòng em nhớ ai :((,khi cô đơn lòng em nhớ ai
Other,"nếu chiếc xe đỗ giữa cửa nhà tôi như trong hình của thớt tôi hoàn toàn không có cảm giác gì , kể cả ngày nào cũng vậy luôn .",nếu chiếc xe đỗ giữa cửa nhà tôi như trong hình của thớt tôi hoàn toàn không có cảm giác gì kể cả ngày nào cũng vậy luôn
Fear,"đang định đi nhổ răng khôn , nghe được tin này thấy ghê răng 😁",đang định đi nhổ răng khôn nghe được tin này thấy ghê răng 😁
Sadness,"ước gì boss không co chân lên , tao vẫn sẽ nghĩ là boss thật khí chất =)))",ước gì boss không co chân lên tao vẫn sẽ nghĩ là boss thật khí chất
Sadness,xem xong tao đã khóc rất nhiều,xem xong tao đã khóc rất nhiều
Enjoyment,ha ha ❤️ chất lắm,ha ha ❤️ chất lắm
Surprise,bộ này hoàn hảo quá,bộ này hoàn hảo quá
Enjoyment,đậu . tao mê nhất là giọng tuy hòa phú yên . nó luôn mang một ấn tượng sâu sắc . nghe cứ thích thế nào ấy,đậu tao mê nhất là giọng tuy hòa phú yên nó luôn mang một ấn tượng sâu sắc nghe cứ thích thế nào ấy
Disgust,lại ngáo đá rồi,lại ngáo đá rồi
Sadness,tao thì nói xong lại thấy người ta không hứng thú thì lại lượn,tao thì nói xong lại thấy người ta không hứng thú thì lại lượn
Enjoyment,để có được cái nắm tay tuổi già là bao giông bão của tuổi trẻ . mấy ai qua được bão giông ?,để có được cái nắm tay tuổi già là bao giông bão của tuổi trẻ mấy ai qua được bão giông
Enjoyment,quan trọng là có per luôn tạo độ khó game cho tôi :))) và không thể thiếu sự trợ giúp của các anh em trong team 😂,quan trọng là có per luôn tạo độ khó game cho tôi và không thể thiếu sự trợ giúp của các anh em trong team 😂
Sadness,điều tồi tệ là học nửa vời chã ra làm sao,điều tồi tệ là học nửa vời chã ra làm sao
Other,chỉ có màn hình là xấu thui,chỉ có màn hình là xấu thôi
Other,cùng câu hỏi .. vụ thang máy thì sao nhỉ,cùng câu hỏi vụ thang máy thì sao nhỉ
Enjoyment,"mỗi ngày đi làm về , tôi không vội vào thang ngay mà thường ngồi sảnh tầm 20p chỉ để ngắm gái xinh cùng tòa 😆.",mỗi ngày đi làm về tôi không vội vào thang ngay mà thường ngồi sảnh tầm 20p chỉ để ngắm gái xinh cùng tòa 😆
Enjoyment,đây mới là công an của nhân dân việt nam cảm ơn bạn nhiều điều tốt đẹp hơn nhé vanew,đây mới là công an của nhân dân việt nam cảm ơn bạn nhiều điều tốt đẹp hơn nhé vanew
Enjoyment,per sau hôm sinh nhật là có cái này . ngon vãi,per sau hôm sinh nhật là có cái này ngon vãi
Fear,per kinh dị thấy mệ luôn nè,per kinh dị thấy mệ luôn nè
Other,tuy hơi fail 1 chút nhưng rất có năng khiếu lớn lên không chừng làm ca sĩ ấy chứ đừng đùa,tuy hơi fail 1 chút nhưng rất có năng khiếu lớn lên không chừng làm ca sĩ ấy chứ đừng đùa
Enjoyment,đúng là tấm gương xáng để con cháu noi theo =)))))),đúng là tấm gương xáng để con cháu noi theo
Fear,khi đã đổ vỡ hàn gắn lại chắc gì đã được như lúc đầu :'<,khi đã đổ vỡ hàn gắn lại chắc gì đã được như lúc đầu
Disgust,"tào lao , bịa đặt",tào lao bịa đặt
Enjoyment,"chia sẻ cho anh em , haha",chia sẻ cho anh em haha
Enjoyment,cách này nhiều người áp dụng quá rồi :))),cách này nhiều người áp dụng quá rồi
Disgust,tưởng bú được vài cái thích của tụi dân trí thấp thì mình khôn ?,tưởng bú được vài cái thích của tụi dân trí thấp thì mình khôn
Surprise,doume khó vậy mà cũng nghĩ ra được 🤣,doume khó vậy mà cũng nghĩ ra được 🤣
Enjoyment,sao ảnh này nhìn con rắn đáng yêuc vãi :))),sao ảnh này nhìn con rắn đáng yêuc vãi
Fear,sau mưa ra đường sợ nhất gặp giun,sau mưa ra đường sợ nhất gặp giun
Enjoyment,per đứa nào nghĩ ra được cái qcao hay vãi ...,per đứa nào nghĩ ra được cái qcao hay vãi
Enjoyment,bạn trai thì chưa . nhưng mỗi lần thằng bạn nó cắt tóc cạo râu thì auto nhìn đẹp trai,bạn trai thì chưa nhưng mỗi lần thằng bạn nó cắt tóc cạo râu thì auto nhìn đẹp trai
Disgust,í thức mấy đứa đi xem như lol .,í thức mấy đứa đi xem như lol
Sadness,đã từng . và bị phũ như 1 con chó 🐶😂😂😂😂,đã từng và bị phũ như 1 con chó 🐶😂
Disgust,thiểu năng đội cái nón không nổi thì sao đủ năng lực chạy xe . nhìn là thấy hãm .,thiểu năng đội cái nón không nổi thì sao đủ năng lực chạy xe nhìn là thấy hãm
Sadness,anh lấy đi niềm tin trả lại cho em những gì,anh lấy đi niềm tin trả lại cho em những gì
Enjoyment,thông minh lắm,thông minh lắm
Anger,thêm cái trang này ăn cắp ý tưởng của tôi,thêm cái trang này ăn cắp ý tưởng của tôi
Other,đề nghị các bạn giữ trật tự trong rạp phim !!!!!!,đề nghị các bạn giữ trật tự trong rạp phim
Disgust,cam mà vắt thế chỉ có đắng nhé thôi đồ ngu,cam mà vắt thế chỉ có đắng nhé thôi đồ ngu
Disgust,"t sẽ tự an ủi tất cả chỉ là diễn thôi , diễn thôi , đéo thể tin được đâu 😏",tao sẽ tự an ủi tất cả chỉ là diễn thôi diễn thôi đéo thể tin được đâu 😏
Disgust,ngu hết phần thiên hạ,ngu hết phần thiên hạ
Other,tin tao đi tiền là thứ duy nhất làm động lực để mày vui :)) tao chia tay xong . cắm mặt vào làm để mua sắm và du lịch :)),tin tao đi tiền là thứ duy nhất làm động lực để mày vui tao chia tay xong cắm mặt vào làm để mua sắm và du lịch
Enjoyment,tao thấy con mèo xinh hơn,tao thấy con mèo xinh hơn
Enjoyment,cho nó cắn phát xem có thành spider man không 😂,cho nó cắn phát xem có thành spider man không 😂
Enjoyment,bếp ga hj hj 🤣🤣🤣🤣🤣🤣,bếp ga hj hj 🤣
Disgust,"từ hành động và lời nói của tụi nhỏ này không biết nên trách ai bây giờ ,, thối nát một thế hệ",từ hành động và lời nói của tụi nhỏ này không bt nên trách ai bây giờ thối nát một thế hệ
Other,sớm bình phục nhé,sớm bình phục nhé
Disgust,căn bản là họ không đáng cho mình trân trọng thôi . per,căn bản là họ không đáng cho mình trân trọng thôi per
Enjoyment,giống thằng này vãi :))),giống thằng này vãi
Enjoyment,"năm nào cả sinh nhật âm hay dương mẹ cũng gọi điện cho mình , bà ngoại trên 80 , bác ruột mình đều nhớ hết 😂😂😂",năm nào cả sinh nhật âm hay dương mẹ cũng gọi điện cho mình bà ngoại trên 80 bác ruột mình đều nhớ hết 😂
Other,quan trọng nhất vẫn là tấm lòng 🙂,quan trọng nhất vẫn là tấm lòng 🙂
Enjoyment,cái mặt hoang mang thấy thương 😆❤️,cái mặt hoang mang thấy thương 😆❤️
Anger,nhìn ức chế vãi,nhìn ức chế vãi
Fear,coi mà cái tay nó rung trái tim nó đập sợ cái thằng đó té sấp mặt luôn thì không bình thường họa mi còn hót được không :)))),coi mà cái tay nó rung trái tim nó đập sợ cái thằng đó té sấp mặt luôn thì không bình thường họa mi còn hót được không
Disgust,nhìn kinh vãi,nhìn kinh vãi
Other,hỡi thế gian tình ái là chi mà đôi lứa nguyện thề sống chết ? 😁😁,hỡi thế gian tình ái là chi mà đôi lứa nguyện thề sống chết 😁😁
Other,per bất nghờ bốc cháy,per bất nghờ bốc cháy
Disgust,"đọc bình luận mới công nhận "" mấy đứa nói đạo lý sống như lol "". đây là câu chuyện vui bạn bè trêu nhau thôi không đến lượt mấy người dạy bé cách cư xử như thế nào đâu . có người con như thế nào bố sẽ rất tự hào đấy",đọc bình luận mới công nhận mấy đứa nói đạo lý sống như lol đây là câu chuyện vui bạn bè trêu nhau thôi không đến lượt mấy người dạy bé cách cư xử như thế nào đâu có người con như thế nào bố sẽ rất tự hào đấy
Enjoyment,chuẩn kkk 😁,chuẩn không 😁
Other,😂😂😂 nhìn và đợi chúng nó chia tay,😂 nhìn và đợi chúng nó chia tay
Other,làm mấy chuyện dở người để được nó chú ý,làm mấy chuyện dở người để được nó chú ý
Disgust,không mưa thì kêu trời mưa thì cũng kêu trời,không mưa thì kêu trời mưa thì cũng kêu trời
Other,họ có thể không giàu có về vật chất nhưng hạnh phúc của họ giàu hơn rất nhìu người ❤,họ có thể không giàu có về vật chất nhưng hạnh phúc của họ giàu hơn rất nhìu người ❤
Disgust,"người ta ăn hàng tỉ lại phát 5 tr , còn gì là pháp luật nữa",người ta ăn hàng tỉ lại phát 5 trời còn gì là pháp luật nữa
Disgust,à còn có thể loại con trai cắt tóc xong rồi tự soi gương xong khen mình đẹp trai mới vãi,à còn có thể loại con trai cắt tóc xong rồi tự soi gương xong khen mình đẹp trai mới vãi
Enjoyment,"per đi làm với c mình vui hết xẩy , trừ những lúc khó tính :))",per đi làm với c mình vui hết xẩy trừ những lúc khó tính
Other,phải tôi đỗ lên vỉa hè giáp cửa nhà bạn bán hàng luôn . vỉa hè rộng thế kia cơ mà .??????????,phải tôi đỗ lên vỉa hè giáp cửa nhà bạn bán hàng luôn vỉa hè rộng thế kia cơ mà
Sadness,cảm thấy sợ mấy thứ suy nghĩ cổ hủ của người lớn :(,cảm thấy sợ mấy thứ suy nghĩ cổ hủ của người lớn
Enjoyment,bò ra mà cười :)),bò ra mà cười
Other,per xem cái này đỡ chán đi ông,per xem cái này đỡ chán đi ông
Sadness,em buông tay anh nhé .... quá khứ ấy anh hãy xoá hết đi .......,em buông tay anh nhé quá khứ ấy anh hãy xoá hết đi
Enjoyment,thông minh vãi,thông minh vãi
Other,gửi đứa nào chưa có người yêu,gửi đứa nào chưa có người yêu
Disgust,mày lười vãi lol,mày lười vãi lol
Other,đi xem 1 mình có sợ ma không 🤔,đi xem 1 mình có sợ ma không 🤔
Other,chả thấy nói nó cho admin bao nhiêu xiền để pr nhỉ,chả thấy nói nó cho admin bao nhiêu xiền để pr nhỉ
Enjoyment,tôi đã xem đi xem lại 3 lần và xem lại lần hai mới hiểu hết nội dung và thấy hay hơn khi xem lại lần 3 . ai chưa xem hãy vào xem thử 2 lần !,tôi đã xem đi xem lại 3 lần và xem lại lần hai mới hiểu hết nội dung và thấy hay hơn khi xem lại lần 3 ai chưa xem hãy vào xem thử 2 lần
Other,"anh biết em có nhiều chuyện , nhưng việc trước mắt là em nộp phạt đã , nếu không xe em sẽ bị thu vào đồn",anh bt em có nhiều chuyện nhưng việc trước mắt là em nộp phạt đã nếu không xe em sẽ bị thu vào đồn
Sadness,thế hóa ra nguy cơ trầm cảm của tao cao lắm,thế hóa ra nguy cơ trầm cảm của tao cao lắm
Enjoyment,mày giận lại tao hả tốt quá bố mày được đi chơi game rồi . tối về dỗ nó sau . chờ mãi câu giận của mày :)),mày giận lại tao hả tốt quá bố mày được đi chơi game rồi tối về dỗ nó sau chờ mãi câu giận của mày
Other,đừng đùa với người nước ngoài nhé,đừng đùa với người nước ngoài nhé
Disgust,làm giáo sư mấy chục năm mà cuốn giáo trình chưa thuộc hết nữa à,làm giáo sư mấy chục năm mà cuốn giáo trình chưa thuộc hết nữa à
Sadness,anh lỡ mất em rồi huhu,anh lỡ mất em rồi huhu
Other,nhớ lại ngày xưa,nhớ lại ngày xưa
Enjoyment,bình tĩnh vãi_chưởng =)),bình tĩnh vãi chưởng
Disgust,đai giảm tốc độ kiểu ấy mà gặp mấy bà đang đau đẻ là xác định đẻ trên xe hay ở nhà đi rồi hẳn đem lên bệnh viện 😂😂😂,đai giảm tốc độ kiểu ấy mà gặp mấy bà đang đau đẻ là xác định đẻ trên xe hay ở nhà đi rồi hẳn đem lên bệnh viện 😂
Enjoyment,thạ timmmmm đùa tao yêu mặt nó lúc ôm đầu vlllll xinh quá con ưiiiiiiii,thạ tim đùa tao yêu mặt nó lúc ôm đầu vãi lồn xinh quá con ưi
Anger,đứa nào tin là đơn giản thế ra đây tao tát cho vài cái cho tỉnh :),đứa nào tin là đơn giản thế ra đây tao tát cho vài cái cho tỉnh
Anger,mẹ . trung thu là tết thiếu nhi . có phải mùa động dục đâu mà phải có người yêu nhỉ . vớ va vớ vẩn 😒,mẹ trung thu là tết thiếu nhi có phải mùa động dục đâu mà phải có người yêu nhỉ vớ va vớ vẩn 😒
Sadness,nhiều khi cũng muốn người yêu chọc để dỗi phát cho bằng người ta . mà nhận ra mình làm gì có người yêu 😌,nhiều khi cũng muốn người yêu chọc để dỗi phát cho bằng người ta mà nhận ra mình làm gì có người yêu 😌
Anger,lâu lâu mới có dịp ăn bánh trung thu mà gặp bán hàng halo thế này thì cho ế mẹ luôn không mua bán gì hết . xem ai bất hạnh hơn ?,lâu lâu mới có dịp ăn bánh trung thu mà gặp bán hàng halo thế này thì cho ế mẹ luôn không mua bán gì hết xem ai bất hạnh hơn
Other,ngáo như con cáo rồi ????,ngáo như con cáo rồi
Anger,khác đéo gì . về thái độ lồi lõm nhìn muốn sút cho phát 🤬🤬,khác đéo gì về thái độ lồi lõm nhìn muốn sút cho phát 🤬🤬
Other,mấy con gà bị lừa mà đéo biết .,mấy con gà bị lừa mà đéo bt
Disgust,móng dài thế lúc đi ỉa xong làm sao xịt nước . xịt nước 1 tay còn tay kia phải rửa đít mới sạch được chứ . khả năng cao ông này dùng giấy chứ không dùng vòi xịt,móng dài thế lúc đi ỉa xong làm sao xịt nước xịt nước 1 tay còn tay kia phải rửa đít mới sạch được chứ khả năng cao ông này dùng giấy chứ không dùng vòi xịt
Enjoyment,chút mua ... hehe,chút mua hehe
Sadness,tạm biệt ánh sáng của đời tao,tạm biệt ánh sáng của đời tao
Sadness,cái tháng học sấp mặt luôn,cái tháng học sấp mặt luôn
Enjoyment,làm ở đâu không quan trọng . quan trọng là có chị em tốt để tạo nghiệp :)))),làm ở đâu không quan trọng quan trọng là có chị em tốt để tạo nghiệp
Sadness,giống chó này hình như không có lông ạ ?? chó nhà em lông rụng đầy nhà .. huhu,giống chó này hình như không có lông ạ chó nhà em lông rụng đầy nhà huhu
Sadness,tôi từng được sống . nhưng đấy là truyện của năm ngoái rồi,tôi từng được sống nhưng đấy là truyện của năm ngoái rồi
Disgust,một lũ ngu,một lũ ngu
Enjoyment,dễ thươnggg,dễ thương
Sadness,"vãi cả phí , có ... 81 tỷ hoy 😓",vãi cả phí có 81 tỷ thôi 😓
Disgust,ra tới cổng tao nói ha xấu cái chắc tao cười ỉa,ra tới cổng tao nói ha xấu cái chắc tao cười ỉa
Fear,nếu địa phương không xây cầu thì người dân cũng có thể tự làm cầu cây mà . phóng lỡ hụt chân thì xác định nát người .,nếu địa phương không xây cầu thì người dân cũng có thể tự làm cầu cây mà phóng lỡ hụt chân thì xác định nát người
Disgust,cứ chiếu mấy bộ phim thế này bảo sao tụi nhỏ không chịu học,cứ chiếu mấy bộ phim thế này bảo sao tụi nhỏ không chịu học
Other,giận làm gì cho mệt 🙄 đằng nào mày cũnh phải xin lỗi tao mà,giận làm gì cho mệt 🙄 đằng nào mày cũnh phải xin lỗi tao mà
Sadness,móng của bố tao . hồi trước và bây giờ đã cắt vì lý do . sức khoẻ .,móng của bố tao hồi trước và bây giờ đã cắt vì lý do sức khoẻ
Surprise,uầy các cụ ngày xưa đẹp trai xinh gái thế,uầy các cụ ngày xưa đẹp trai xinh gái thế
Enjoyment,nín đi . sang ngủ với mẹ đi đêm nay anh chông chị cho =))),nín đi sang ngủ với mẹ đi đêm nay anh chông chị cho
Disgust,"không nghe lời cha mẹ , không ăn học , giờ đi hốt rác . không có giá trị trong xã hội , bày đặt chữi ai .",không nghe lời cha mẹ không ăn học giờ đi hốt rác không có giá trị trong xã hội bày đặt chữi ai
Anger,mày không phải nhảy vào mồm tao như thế . nhảy vào là tao cạp cạp cạp ...,mày không phải nhảy vào mồm tao như thế nhảy vào là tao cạp cạp cạp
Sadness,mình thiì chưa năm nào được trọn vẹn,mình thiì chưa năm nào được trọn vẹn
Anger,loại mất dậy,loại mất dậy
Other,hỏi thế gian tình ái là chi =)))),hỏi thế gian tình ái là chi
Fear,quả mắt nhìn sợ vãi,quả mắt nhìn sợ vãi
Anger,vặt đôi gương cảnh cáo :)),vặt đôi gương cảnh cáo
Enjoyment,per chúng ta vẩn xài . kk,per chúng ta vẩn xài kk
Other,per nhớ lần mua mộc ra bờ sông ghê . đã thế còn làm li đặc biệt . dm,per nhớ lần mua mộc ra bờ sông ghê đã thế còn làm li đặc biệt địt mẹ
Disgust,cảm xúc đéo gì khi mà họp lớp đéo đi,cảm xúc đéo gì khi mà họp lớp đéo đi
Disgust,vừa xử lí vừa thải nước bẩn ra liên tục thì coi như bó tay,vừa xử lí vừa thải nước bẩn ra liên tục thì coi như bó tay
Enjoyment,moá cưng quá ??,moá cưng quá
Disgust,má con đàn bà thối mồm gặp thằng say hèm,má con đàn bà thối mồm gặp thằng say hèm
Enjoyment,đó là dấu hiện của sự trưởng thành =))))))))),đó là dấu hiện của sự trưởng thành
Enjoyment,cứ mỗi lần có phim hay là xách nhau đi 🤣,cứ mỗi lần có phim hay là xách nhau đi 🤣
Surprise,vãi đông như này á 😢,vãi đông như này á 😢
Enjoyment,cười muốn tắt thở 😂😂😂,cười muốn tắt thở 😂
Other,ừ thế là kể từ đấy về sau đứa con trai nào cũng trở thành huynh đệ với nó hết,ừ thế là kể từ đấy về sau đứa con trai nào cũng trở thành huynh đệ với nó hết
Sadness,per không lẽ sau này kím bạn trai không tập gym 😖,per không lẽ sau này kím bạn trai không tập gym 😖
Sadness,per huhuu không biết lúc đấy thực tập chưa :(((,per huhuu không bt lúc đấy thực tập chưa
Enjoyment,chất quá .. haha,chất quá haha
Disgust,"per cái thứ yêu nghiệt này cứ thấy tao như thấy crush , cứ gặp tao là đuổi :)",per cái thứ yêu nghiệt này cứ thấy tao như thấy người mình thích cứ gặp tao là đuổi
Other,"ốm cũng được , chỉ cần mát thôi 😌",ốm cũng được chỉ cần mát thôi 😌
Other,cái vị mà ai cũg muốn thử và mỗi người thử lại cảm nhận được một vị riêng,cái vị mà ai cũg muốn thử và mỗi người thử lại cảm nhận được một vị riêng
Surprise,per mày ăn ở kiểu gì mà ra được cái này luôn thế,per mày ăn ở kiểu gì mà ra được cái này luôn thế
Disgust,chứ còn con mẹ gì nữa 😔,chứ còn con mẹ gì nữa 😔
Other,"per 2ce thì có thể làm được , ly mà làm như vầy thì 🤣",per 2ce thì có thể làm được ly mà làm như vầy thì 🤣
Disgust,- chủ tịch giả nghèo bán vé số và cái kết -> đừng bao giờ xem thường người khác,chủ tịch giả nghèo bán vé số và cái kết đừng bao giờ xem thường người khác
Other,phải giết ngay không nó lại đẻ trứng,phải giết ngay không nó lại đẻ trứng
Enjoyment,yêu chết dược 😍😍😍,yêu chết dược 😍
Enjoyment,"thằng bạn ngồi kế bên lớp 2 nhà bán vàng mà nó học dốt , thế là làm bình thường về nhà cho nó , 1 bài 2k , mồi ngày kiếm 8 - 10k 🤑",thằng bạn ngồi kế bên lớp 2 nhà bán vàng mà nó học dốt thế là làm bình thường về nhà cho nó 1 bài 2k mồi ngày kiếm 8 10k 🤑
Sadness,để tao nấu thì quên luôn . xác định tối đó đói :((,để tao nấu thì quên luôn xác định tối đó đói
Enjoyment,ngưỡn mộ chi lâu lắm oy . mà giờ biết thêm nhiều về chj nữa nên càng yêuc chj nhiều hơn 😍😍😍,ngưỡn mộ chi lâu lắm oy mà giờ bt thêm nhiều về chj nữa nên càng yêuc chj nhiều hơn 😍
Enjoyment,haha cứ lên xuống thấp thỏm kìa ..,haha cứ lên xuống thấp thỏm kìa
Other,còn nhiều người chưa có người yêu lắm :),còn nhiều người chưa có người yêu lắm
Enjoyment,các bạn trẻ ! người lớn có thể nghe thấy tiếng chó kêu mà không hành động gì để cứu vớt . các em thật đáng khen . cần những bạn trẻ nhân ái như các bạn .,các bạn trẻ người lớn có thể nghe thấy tiếng chó kêu mà không hành động gì để cứu vớt các em thật đáng khen cần những bạn trẻ nhân ái như các bạn
Enjoyment,cuối cùng per cũng thành công rồi nha per nha,cuối cùng per cũng thành công rồi nha per nha
Enjoyment,🤣 lau mặt bằng quần chíp của vợ à ?,🤣 lau mặt bằng quần chíp của vợ à
Disgust,đồng nghiệp của tôi là ai 😑,đồng nghiệp của tôi là ai 😑
Disgust,con chó có đuôi . con người có ý thức . đm mấy thằng lol này ý thức đéo bằng con ruồi .,con chó có đuôi con người có ý thức địt mẹ mấy thằng lol này ý thức đéo bằng con ruồi
Fear,"khi xưa bị rượt 1 lần mà nhớ đời , còn mổ tao nữa chứ 😨😨😨",khi xưa bị rượt 1 lần mà nhớ đời còn mổ tao nữa chứ 😨
Disgust,việc mày giận lại không còn quan trọng khi mày đéo còn là món mà nó hứng thú nữa 🙂,việc mày giận lại không còn quan trọng khi mày đéo còn là món mà nó hứng thú nữa 🙂
Fear,gì mà ghê vậy 😑 sởn gai ốc,gì mà ghê vậy 😑 sởn gai ốc
Enjoyment,ngầu lắm bạn ạ ^^,ngầu lắm bạn ạ
Enjoyment,thực ra chỉ cần nhập đúng input là được thôi mà :d,thực ra chỉ cần nhập đúng input là được thôi mà d
Enjoyment,dăm ba chuyện hẹn hò có gì hay ho 😌 nhưng mà thi thoảng có dăm ba cái chuyện này cũng hay 🙂 tóm lại xem để giải trí đỡ buồn cũng tốt 🙂,dăm ba chuyện hẹn hò có gì hay ho 😌 nhưng mà thi thoảng có dăm ba cái chuyện này cũng hay 🙂 tóm lại xem để giải trí đỡ buồn cũng tốt 🙂
Other,t tưởng nó nói tiếng việt chứ,tao tưởng nó nói tiếng việt chứ
Enjoyment,má đáng yêuc quá dạyyyy ??,má đáng yêuc quá dạy
Other,per đẳng cấp nào rồi em,per đẳng cấp nào rồi em
Enjoyment,"sao mày không như crush của tao , thuỷ triều lên cũng đéo sợ nhé 😆",sao mày không như người mình thích của tao thuỷ triều lên cũng đéo sợ nhé 😆
Sadness,khổ thân vãi :)) xong bà lườm luôn :)),khổ thân vãi xong bà lườm luôn
Other,học sinh cứ làm mấy việc tốt như thế này có phải các phụ huynh yên tâm không . 😍😍,học sinh cứ làm mấy việc tốt như thế này có phải các phụ huynh yên tâm không 😍😍
Enjoyment,dù trời có sập cũng phải ăn đã nhé :))) anh có gấp lắm cũng phải chờ em nhé 🤣🤣🤣,dù trời có sập cũng phải ăn đã nhé anh có gấp lắm cũng phải chờ em nhé 🤣
Enjoyment,cưng thiệt chớ ????,cưng thiệt chớ
Other,"màu này lạ quá , kết hợp hài hòa đẹp quá",màu này lạ quá kết hợp hài hòa đẹp quá
Other,"dùng iq xíu đi mấy má , người ta đang mô tả tình yêu của người ta",dùng iq xíu đi mấy má người ta đang mô tả tình yêu của người ta
Other,đây là hình ảnh của boss trước khi có vợ và sau khi có vợ là một tr một vực,đây là hình ảnh của boss trước khi có vợ và sau khi có vợ là một trời một vực
Disgust,ý thức người khác không tốt thì cũng chẳng bao biện được hành xử của bạn không tốt . nghe từ đầu đến cuối là tiếng la hét chửi rủa -.-,ý thức người khác không tốt thì cũng chẳng bao biện được hành xử của bạn không tốt nghe từ đầu đến cuối là tiếng la hét chửi rủa
Fear,"thật là romantic , mà mà mà ... sao nghĩ tới cảnh động phòng hoa chúc tao thấy nhột nhột lỗ đít 😧😧",thật là romantic mà mà mà sao nghĩ tới cảnh động phòng hoa chúc tao thấy nhột nhột lỗ đít 😧😧
Anger,"per đi coi phim coi , hẹn quài luôn á",per đi coi phim coi hẹn quài luôn á
Enjoyment,bố là số 1 vĩ đại hơn những gì con cần,bố là số 1 vĩ đại hơn những gì con cần
Disgust,tưởng thế mà ngầu,tưởng thế mà ngầu
Sadness,hôm nay anh xin lỗi em về những việc anh đã làm hôm nay .. anh không thể kiểm soát não anh được nữa rồi 🤫,hôm nay anh xin lỗi em về những việc anh đã làm hôm nay anh không thể kiểm soát não anh được nữa rồi 🤫
Enjoyment,thế này mà gặp per thì phải chạy phọt dắm ra quần per nhỉ,thế này mà gặp per thì phải chạy phọt dắm ra quần per nhỉ
Sadness,sao nỡ lòng nào khiển trách bác ấy . còn họp kiểm điểm nữa . tội quá .,sao nỡ lòng nào khiển trách bác ấy còn họp kiểm điểm nữa tội quá
Sadness,khổ nhân viên,khổ nhân viên
Fear,mới ho mà đã như thế nào thì lấy chồng chắc sống trong bệnh viện cả đời mất thôi,mới ho mà đã như thế nào thì lấy chồng chắc sống trong bệnh viện cả đời mất thôi
Anger,hồi lúc nhà tao nuôi mấy con ngỗng . mỗi lần đi ngang nó là nó đòi dí cắn mà trong khi tao là người cho nó ăn . thứ ngu như bò 😤😤,hồi lúc nhà tao nuôi mấy con ngỗng mỗi lần đi ngang nó là nó đòi dí cắn mà trong khi tao là người cho nó ăn thứ ngu như bò 😤😤
Surprise,thế mà cũng bắt được siêu vãi,thế mà cũng bắt được siêu vãi
Enjoyment,per ê xem đi phim này lâu rồi nhưng mà hay lắm,per ê xem đi phim này lâu rồi nhưng mà hay lắm
Sadness,còn tao thì còn không có nổi 1 người tỏ ra thân thiết quan tâm cơ . _ .,còn tao thì còn không có nổi 1 người tỏ ra thân thiết quan tâm cơ
Sadness,có gặp cũng đéo dám ngẩng đầu lên nhìn,có gặp cũng đéo dám ngẩng đầu lên nhìn
Fear,"công nhận lãng mạn thật , nhưng tao đang tưởng tượng cái cảnh động phòng , eo ơi ......",công nhận lãng mạn thật nhưng tao đang tưởng tượng cái cảnh động phòng eo ơi
Other,ông định làm gì anh vợ tôi ?,ông định làm gì anh vợ tôi
